,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF
3067,M,300.3,311.6,1383,53.4,151,0,0,0,0,0
3068,L,298.9,310.0,1598,37.2,156,0,0,0,0,0
3069,M,299.8,311.1,1389,50.0,55,0,0,0,0,0
3070,M,297.3,308.1,1683,31.0,202,0,0,0,0,0
3071,M,298.4,309.3,1540,36.3,8,0,0,0,0,0
3072,L,301.4,311.0,1657,31.1,176,0,0,0,0,0
3073,L,301.3,311.1,1413,39.7,74,0,0,0,0,0
3074,H,303.5,311.6,1466,47.0,150,0,0,0,0,0
3075,M,300.7,310.7,1426,44.4,211,0,0,0,0,0
3076,H,298.1,307.9,1499,37.8,132,0,0,0,0,0
3077,L,300.8,310.7,1578,38.0,0,0,0,0,0,0
3078,L,301.7,310.8,1402,40.0,42,0,0,0,0,0
3079,L,302.8,312.5,1364,43.4,68,0,0,0,0,0
3080,L,302.3,311.5,1466,45.2,39,0,0,0,0,0
3081,L,300.7,310.8,1386,49.1,119,0,0,0,0,0
3082,L,298.7,308.4,1404,47.3,59,0,0,0,0,0
3083,L,297.8,309.9,1451,49.0,181,0,0,0,0,0
3084,L,300.9,311.1,1438,36.0,61,0,0,0,0,0
3085,M,298.5,309.5,1372,49.6,127,0,0,0,0,0
3086,L,299.3,308.8,1481,40.4,89,0,0,0,0,0
3087,M,300.4,309.8,1421,47.2,73,0,0,0,0,0
3088,L,301.0,310.9,1492,34.5,162,0,0,0,0,0
3089,M,303.6,312.4,1465,41.7,109,0,0,0,0,0
3090,L,297.6,308.9,1579,31.7,155,0,0,0,0,0
3091,L,298.3,309.4,1563,39.0,96,0,0,0,0,0
3092,H,298.7,308.5,2022,20.5,9,0,0,0,0,0
3093,M,298.8,309.9,1367,52.1,9,0,0,0,0,0
3094,L,300.4,309.6,1379,56.6,124,0,0,0,0,0
3095,L,297.5,308.6,1596,37.1,0,0,0,0,0,0
3096,M,300.6,309.6,1404,45.4,85,0,0,0,0,0
3097,L,296.8,307.6,1420,44.9,128,0,0,0,0,0
3098,L,302.4,310.3,2098,19.9,140,0,0,0,0,0
3099,L,298.4,308.0,1353,53.1,9,0,0,0,0,0
3100,L,301.9,310.7,1379,46.5,185,0,0,0,0,0
3101,L,302.2,311.8,1564,37.2,156,0,0,0,0,0
3102,L,298.3,308.3,1426,46.6,98,0,0,0,0,0
3103,L,297.4,308.3,1474,39.9,13,0,0,0,0,0
3104,L,300.8,310.6,1468,36.2,148,0,0,0,0,0
3105,L,300.6,311.7,1394,49.5,22,0,0,0,0,0
3106,L,299.1,308.7,1498,39.8,79,0,0,0,0,0
3107,M,298.7,309.7,1452,42.7,127,0,0,0,0,0
3108,L,302.3,311.1,1526,37.1,2,0,0,0,0,0
3109,M,298.8,308.5,1529,36.4,24,0,0,0,0,0
3110,M,299.2,309.1,1576,34.7,6,0,0,0,0,0
3111,M,298.2,309.4,1693,34.4,49,0,0,0,0,0
3112,H,300.3,311.6,1617,31.6,102,0,0,0,0,0
3113,L,303.9,313.2,1481,40.0,49,0,0,0,0,0
3114,L,297.6,309.6,1519,42.9,220,0,0,0,0,0
3115,L,297.7,308.8,1354,42.5,47,0,0,0,0,0
3116,M,300.6,311.7,1671,32.1,187,0,0,0,0,0
3117,L,300.6,311.7,1427,50.7,185,0,0,0,0,0
3118,L,298.0,307.5,1420,32.8,185,0,0,0,0,0
3119,L,300.3,311.9,1798,25.5,189,0,0,0,0,0
3120,L,298.7,309.0,1486,40.4,154,0,0,0,0,0
3121,M,299.8,309.0,1467,43.3,193,0,0,0,0,0
3122,L,298.9,309.1,1451,42.4,143,0,0,0,0,0
3123,L,297.4,308.4,1620,31.8,184,0,0,0,0,0
3124,L,301.4,310.4,1357,53.2,127,0,0,0,0,1
3125,M,300.2,309.1,1639,31.7,183,0,0,0,0,0
3126,L,300.1,309.5,1450,48.1,64,0,0,0,0,0
3127,M,298.7,309.4,1401,46.8,162,0,0,0,0,0
3128,L,300.7,310.6,1651,31.0,187,0,0,0,0,0
3129,L,301.7,310.5,1635,29.7,112,0,0,0,0,0
3130,L,299.7,310.2,1467,48.0,15,0,0,0,0,0
3131,L,303.6,312.7,1763,28.6,46,0,0,0,0,0
3132,M,301.4,310.6,1692,32.3,5,0,0,0,0,0
3133,L,300.6,310.0,1505,33.9,95,0,0,0,0,0
3134,L,300.1,309.0,1350,57.9,41,0,0,0,0,0
3135,L,300.6,309.5,1528,42.4,57,0,0,0,0,0
3136,M,300.6,310.2,1607,33.2,57,0,0,0,0,0
3137,H,300.8,310.7,1417,51.9,59,0,0,0,0,0
3138,L,300.6,310.1,1521,39.9,23,0,0,0,0,0
3139,H,302.4,311.0,1569,35.3,168,0,0,0,0,0
3140,L,302.3,311.0,1347,50.5,3,0,0,0,0,0
3141,M,303.7,312.8,1505,42.4,166,0,0,0,0,0
3142,L,300.7,310.8,1413,40.6,55,0,0,0,0,0
3143,L,301.4,310.7,1610,32.2,17,0,0,0,0,0
3144,L,301.2,310.9,1558,37.9,148,0,0,0,0,0
3145,L,300.2,309.4,1456,37.0,194,0,0,0,0,0
3146,L,296.4,307.5,1403,56.1,59,0,0,0,0,0
3147,L,301.5,310.5,1446,40.4,64,0,0,0,0,0
3148,L,301.0,310.9,1695,28.7,197,0,0,0,0,0
3149,M,300.8,310.9,1678,28.1,76,0,0,0,0,0
3150,L,303.0,311.1,1928,23.5,0,0,0,0,0,0
3151,M,301.0,309.6,1628,35.5,135,0,0,0,0,0
3152,L,298.9,310.1,1558,38.0,46,0,0,0,0,0
3153,L,297.0,307.7,1513,36.8,124,0,0,0,0,0
3154,L,302.3,310.8,1546,36.8,9,0,0,0,0,0
3155,L,297.4,308.4,1437,40.0,121,0,0,0,0,0
3156,L,301.3,310.4,1695,30.9,197,0,0,0,0,0
3157,L,301.8,309.9,1452,42.8,108,0,0,0,0,0
3158,M,298.0,307.5,1581,38.5,119,0,0,0,0,0
3159,L,302.4,311.8,1547,42.2,124,0,0,0,0,0
3160,L,301.4,310.7,1598,33.9,220,0,0,0,0,0
3161,L,297.0,307.8,1491,49.0,204,0,0,0,0,0
3162,L,298.2,307.8,1461,45.1,82,0,0,0,0,0
3163,M,297.5,308.3,1466,44.8,17,0,0,0,0,0
3164,L,301.0,312.3,1358,42.6,2,0,0,0,0,0
3165,L,298.5,308.15,1445,50.5,24,0,0,0,0,0
3166,L,300.6,310.4,1384,49.0,165,0,0,0,0,0
3167,L,297.7,308.8,1896,24.5,0,0,0,0,0,0
3168,L,299.7,309.2,1363,51.4,115,0,0,0,0,0
3169,L,299.3,308.7,1419,47.3,94,0,0,0,0,0
3170,M,300.1,309.2,1457,35.1,98,0,0,0,0,0
3171,L,301.9,311.0,1562,38.0,126,0,0,0,0,0
3172,L,304.0,313.3,1444,46.1,148,0,0,0,0,0
3173,L,298.5,308.1,1564,41.6,119,0,0,0,0,0
3174,L,300.4,309.8,1450,43.8,24,0,0,0,0,0
3175,L,300.2,310.3,1492,41.8,40,0,0,0,0,0
3176,L,300.7,310.3,1567,39.2,223,0,0,0,0,0
3177,L,300.7,310.8,1490,39.5,202,0,0,0,0,0
3178,L,297.9,307.6,1463,46.8,135,0,0,0,0,0
3179,M,301.8,309.6,1827,27.3,130,0,0,0,0,0
3180,M,297.5,308.2,1490,41.7,141,0,0,0,0,0
3181,M,298.7,309.9,1353,46.8,70,0,0,0,0,0
3182,M,298.1,308.2,1609,32.9,181,0,0,0,0,0
3183,M,298.7,310.1,1390,56.8,165,0,0,0,0,0
3184,M,300.6,310.3,1648,30.4,95,0,0,0,0,0
3185,L,303.4,311.9,1369,50.0,52,0,1,0,0,0
3186,L,298.9,308.7,1438,51.7,76,0,0,0,0,0
3187,L,300.6,312.0,1418,44.0,129,0,0,0,0,0
3188,L,300.6,310.7,1378,52.5,121,0,0,0,0,0
3189,L,302.9,312.3,1642,34.0,70,0,0,0,0,0
3190,M,298.7,309.9,1479,38.9,179,0,0,0,0,0
3191,L,298.0,308.9,1382,51.0,109,0,0,0,0,0
3192,L,300.8,309.3,1431,46.3,151,0,0,0,0,0
3193,M,300.5,311.1,1512,38.1,84,0,0,0,0,0
3194,L,300.5,311.4,1504,36.8,114,0,0,0,0,0
3195,L,297.0,307.6,1680,30.5,220,1,0,0,0,0
3196,L,301.1,310.5,1473,38.6,103,0,0,0,0,0
3197,L,302.6,312.1,1397,54.4,178,0,0,0,1,0
3198,L,300.8,312.5,1517,41.1,129,0,0,0,0,0
3199,H,298.8,309.9,1498,40.0,82,0,0,0,0,0
3200,L,301.2,311.1,1525,41.8,57,0,0,0,0,0
3201,M,303.7,312.4,1498,41.7,206,0,0,0,0,0
3202,H,297.2,308.3,1617,30.2,128,0,0,0,0,0
3203,L,300.6,310.4,1803,21.7,118,0,0,0,0,0
3204,M,300.1,309.7,1636,31.1,185,0,0,0,0,0
3205,L,298.9,309.8,1452,47.3,151,0,0,0,0,0
3206,L,303.7,313.0,1525,37.5,206,0,0,0,0,0
3207,H,300.9,310.8,1463,50.9,200,0,0,0,0,0
3208,L,301.6,310.0,2206,16.5,18,0,0,0,0,0
3209,L,302.3,311.4,1333,66.7,207,0,0,1,1,0
3210,L,300.9,310.8,1477,43.1,14,0,0,0,0,0
3211,L,302.9,312.3,1530,34.9,171,0,0,0,0,0
3212,L,302.7,312.2,1268,52.8,164,0,0,0,0,0
3213,L,303.3,312.3,1425,42.2,48,0,0,0,0,0
3214,L,298.1,308.2,1367,42.0,42,0,0,0,0,0
3215,H,297.6,309.4,1725,26.1,218,0,0,0,0,0
3216,L,299.1,310.1,1336,37.9,94,0,0,0,0,0
3217,M,303.7,312.7,1606,33.7,131,0,0,0,0,0
3218,L,302.6,311.0,1513,36.9,129,0,0,0,0,0
3219,L,298.2,308.1,1462,43.9,27,0,0,0,0,0
3220,L,298.4,309.6,1454,47.5,146,0,0,0,0,0
3221,H,300.4,309.8,1547,36.1,131,0,0,0,0,0
3222,L,299.2,310.3,1375,47.8,24,0,0,0,0,0
3223,L,299.2,310.6,1498,40.9,88,0,0,0,0,0
3224,L,300.8,310.4,1488,46.6,189,0,0,0,0,0
3225,L,301.3,310.6,2165,17.4,151,0,0,0,0,0
3226,L,301.2,311.2,1563,34.0,203,0,0,0,0,0
3227,H,299.0,310.6,1596,35.9,192,0,0,0,0,0
3228,L,301.2,310.9,1491,37.1,0,0,0,0,0,0
3229,L,298.6,309.8,1520,48.3,103,0,0,0,0,0
3230,M,298.1,309.4,1362,47.6,135,0,0,0,0,0
3231,M,301.1,310.7,1488,41.7,103,0,0,0,0,0
3232,L,300.1,309.3,1685,58.5,203,0,0,0,0,0
3233,L,300.0,310.1,1562,34.5,202,0,0,0,0,0
3234,L,300.2,310.1,1540,36.2,19,0,0,0,0,0
3235,M,300.5,311.9,1669,32.0,103,0,0,0,0,0
3236,L,297.5,308.1,1435,44.9,115,0,0,0,0,0
3237,L,295.6,305.9,1462,46.2,92,0,0,0,0,0
3238,M,301.4,310.5,1563,52.3,0,0,0,0,0,0
3239,L,301.4,311.1,1469,36.9,179,0,0,0,0,0
3240,L,297.8,308.4,1448,40.0,192,0,0,0,0,0
3241,L,300.4,309.6,1569,38.9,137,0,0,0,0,0
3242,L,301.0,312.1,1499,35.1,81,0,0,0,0,0
3243,L,299.2,308.5,1405,43.4,144,0,0,0,0,0
3244,L,300.6,310.2,1489,47.0,8,0,0,0,0,0
3245,L,300.6,310.2,1447,42.9,17,0,0,0,0,0
3246,L,301.3,310.6,1416,48.1,214,0,0,0,0,0
3247,M,299.1,308.7,1725,26.6,172,0,0,0,0,0
3248,M,299.1,310.6,1397,49.5,83,0,0,0,0,0
3249,M,298.1,308.8,1477,46.3,145,0,0,0,0,0
3250,H,301.3,310.5,1635,31.0,191,0,0,0,0,0
3251,H,300.5,309.7,1403,44.7,196,0,0,0,0,0
3252,L,297.0,308.1,1429,50.8,138,0,0,0,0,0
3253,L,297.1,307.8,1636,35.5,202,0,0,0,0,0
3254,L,297.4,308.3,1473,42.5,114,0,0,0,0,0
3255,L,299.6,310.2,1369,54.8,17,0,0,0,0,0
3256,L,298.8,309.9,1387,50.6,126,0,0,0,0,0
3257,L,300.4,311.1,1372,46.2,133,0,0,0,0,0
3258,M,297.6,308.3,1405,51.7,7,0,0,0,0,0
3259,L,300.7,310.4,1366,52.7,205,0,0,0,0,0
3260,L,296.9,307.9,1626,48.3,127,0,0,0,0,0
3261,L,299.1,310.3,1721,26.9,107,0,0,0,0,0
3262,M,297.5,308.0,1430,44.5,137,0,0,0,0,0
3263,L,297.3,308.1,1692,29.2,154,0,0,0,0,0
3264,H,300.1,309.2,1602,33.7,197,0,0,0,0,0
3265,L,298.8,308.4,1535,39.3,8,0,0,0,0,0
3266,L,301.3,310.7,1384,55.6,106,0,0,0,0,0
3267,L,298.5,309.6,1385,53.6,122,0,0,0,0,0
3268,L,300.1,311.4,1910,23.0,104,0,0,0,0,0
3269,M,300.7,311.0,1580,36.6,109,0,0,0,0,0
3270,H,300.4,311.2,1489,44.3,166,0,0,0,0,0
3271,L,301.9,310.6,1553,39.3,161,0,0,0,0,0
3272,L,300.1,309.4,1528,37.6,124,0,0,0,0,0
3273,L,298.9,310.0,1422,43.8,104,0,0,0,0,0
3274,M,298.0,308.4,1403,44.8,37,0,0,0,0,0
3275,L,298.0,307.6,1648,45.8,2,0,0,0,0,0
3276,H,299.0,308.8,1385,44.0,0,0,0,0,0,0
3277,H,298.5,308.2,1469,44.6,38,0,0,0,0,0
3278,M,300.1,310.3,1530,36.9,50,0,0,0,0,0
3279,L,298.3,310.1,1535,44.9,81,0,0,0,0,0
3280,M,299.9,309.5,1268,58.0,90,0,0,0,0,0
3281,M,298.4,308.2,1664,28.4,188,0,0,0,0,0
3282,M,300.2,309.9,1663,28.7,41,0,0,0,0,0
3283,L,298.1,308.4,1521,37.2,211,0,0,0,0,0
3284,M,301.5,310.7,1557,33.5,115,0,0,0,0,0
3285,L,302.7,312.1,1520,36.0,48,0,0,0,0,0
3286,M,300.1,311.4,1258,59.7,183,0,0,0,0,0
3287,L,300.2,309.4,1681,27.3,24,0,0,0,0,0
3288,M,302.2,310.9,1449,43.2,58,0,0,0,0,0
3289,L,301.3,310.4,1649,32.7,94,0,0,0,0,0
3290,M,297.4,308.7,1392,46.4,92,0,0,0,0,0
3291,L,298.2,308.2,1498,38.3,20,0,0,0,0,0
3292,L,302.3,311.4,1816,23.8,181,0,0,0,0,0
3293,L,300.5,310.5,1540,38.3,117,0,0,0,0,0
3294,L,300.5,310.4,1572,35.0,160,0,0,0,0,0
3295,L,297.2,308.6,1446,50.0,52,0,0,0,0,0
3296,L,303.7,312.8,1518,40.3,190,0,0,0,0,0
3297,L,298.0,308.1,1877,35.0,218,1,0,0,0,0
3298,L,301.0,310.9,1479,38.0,137,0,0,0,0,0
3299,L,298.1,307.6,1526,35.8,90,0,0,0,0,0
3300,L,301.9,310.9,1465,43.9,114,0,0,0,0,0
3301,L,302.8,312.2,1495,38.9,24,0,0,0,0,0
3302,M,298.0,307.6,1525,41.8,89,0,0,0,0,0
3303,L,298.9,310.1,1605,33.8,61,0,0,0,0,0
3304,L,296.9,307.7,1424,45.1,120,0,0,0,0,0
3305,L,303.6,311.7,1509,38.5,64,0,0,0,0,0
3306,L,298.6,309.3,1663,30.8,177,0,0,0,0,0
3307,L,301.1,310.0,1479,45.7,42,0,0,0,0,0
3308,M,303.4,311.8,1484,34.8,69,0,0,0,0,0
3309,L,302.2,310.9,1484,52.7,11,0,0,0,0,0
3310,M,300.4,311.4,1450,48.0,30,0,0,0,0,0
3311,L,297.9,309.8,1738,25.7,38,0,0,0,0,0
3312,L,302.8,312.2,1610,35.8,198,0,0,0,0,0
3313,L,297.8,307.8,1511,38.7,23,0,0,0,0,0
3314,L,302.6,311.0,1428,43.5,99,0,0,0,0,0
3315,L,298.5,309.6,1724,25.0,23,0,0,0,0,0
3316,L,300.2,309.6,1495,35.8,39,0,0,0,0,0
3317,L,297.4,308.4,1372,56.7,66,0,0,0,0,0
3318,L,300.2,311.4,1568,40.4,34,0,0,0,0,0
3319,L,297.1,307.8,1428,43.1,179,0,0,0,0,0
3320,L,297.6,309.0,1488,38.2,22,0,0,0,0,0
3321,L,299.8,310.5,1537,38.3,183,0,0,0,0,0
3322,L,300.9,309.3,1489,38.4,107,0,0,0,0,0
3323,H,303.8,312.5,1627,32.1,170,0,0,0,0,0
3324,M,300.7,309.6,1996,53.6,31,0,0,0,0,0
3325,L,298.4,309.6,1392,50.1,146,0,0,0,0,0
3326,L,300.1,309.2,1567,36.1,27,0,0,0,0,0
3327,L,296.2,307.0,1633,26.6,20,0,0,0,0,0
3328,L,302.5,310.3,1431,36.3,66,0,0,0,0,0
3329,L,300.3,311.7,1366,45.7,123,0,0,0,0,0
3330,M,298.7,309.8,1870,22.1,200,0,0,0,0,0
3331,L,297.2,307.9,1427,43.7,165,0,0,0,0,0
3332,L,301.4,310.7,1366,49.5,22,0,0,0,0,0
3333,H,298.3,307.7,1626,31.1,166,0,0,0,0,0
3334,H,297.7,308.1,1318,61.1,186,0,0,0,0,0
3335,L,302.0,310.7,1675,33.5,84,0,0,0,0,0
3336,L,300.3,309.6,1615,36.7,170,0,0,0,0,0
3337,M,302.4,311.9,1598,31.9,194,0,0,0,0,0
3338,H,303.3,312.6,1524,43.9,132,0,0,0,0,0
3339,L,304.0,313.0,1544,34.0,112,0,0,0,0,0
3340,L,301.1,310.8,1391,48.5,119,0,0,0,0,0
3341,L,301.2,309.9,1525,40.7,166,0,0,0,0,0
3342,L,302.0,310.4,1366,58.2,159,0,1,0,0,0
3343,M,302.3,311.0,1758,26.5,68,0,0,0,0,0
3344,L,298.5,309.3,1616,34.5,26,0,0,0,0,0
3345,M,302.1,310.6,1781,25.7,95,0,0,0,0,0
3346,L,299.1,310.6,1496,49.0,171,0,0,0,0,0
3347,M,301.2,312.4,1423,43.7,39,0,0,0,0,0
3348,L,299.3,310.8,1439,45.7,119,0,0,0,0,0
3349,M,302.6,312.3,1924,24.0,202,0,0,0,0,0
3350,L,297.9,309.8,1399,52.1,112,0,0,0,0,0
3351,M,300.8,310.8,1418,52.4,40,0,0,0,0,0
3352,L,302.7,312.3,1589,32.2,49,0,0,0,0,0
3353,M,304.0,312.7,1532,39.4,160,0,0,0,0,0
3354,M,299.7,309.2,1325,54.4,225,0,0,0,0,0
3355,H,297.5,308.3,1653,36.3,100,0,0,0,0,0
3356,L,300.8,310.4,1432,51.9,174,0,0,0,0,0
3357,L,297.8,307.9,1642,29.1,46,0,0,0,0,0
3358,L,298.4,309.4,1440,48.2,135,0,0,0,0,0
3359,L,299.2,308.4,1452,34.1,89,0,0,0,0,0
3360,L,302.6,310.4,1365,54.2,80,0,0,0,0,0
3361,L,298.3,309.0,1339,58.8,173,0,0,0,0,0
3362,L,300.6,311.4,1385,46.7,87,0,0,0,0,0
3363,L,301.0,311.0,1610,31.9,174,0,0,0,0,0
3364,L,301.4,310.6,1552,39.0,70,0,0,0,0,0
3365,L,303.8,312.5,1602,32.7,192,0,0,0,0,0
3366,L,299.9,309.2,1874,23.8,105,0,0,0,0,0
3367,L,300.8,311.2,1445,47.2,109,0,0,0,0,0
3368,M,300.5,310.6,1763,26.5,7,0,0,0,0,0
3369,L,301.9,310.9,1309,44.3,25,0,0,0,0,0
3370,L,298.2,308.4,1452,47.3,158,0,0,0,0,0
3371,L,295.6,306.2,1708,25.8,29,0,0,0,0,0
3372,M,300.7,310.6,1419,41.7,184,0,0,0,0,0
3373,L,297.1,308.2,1584,40.4,186,0,0,0,0,0
3374,L,301.7,310.7,1786,26.1,66,0,0,0,0,0
3375,L,297.4,308.3,1471,44.1,203,0,0,0,0,0
3376,L,297.5,308.4,1621,33.7,58,0,0,0,0,0
3377,L,300.6,310.3,1484,49.7,213,0,0,0,0,0
3378,M,298.3,307.7,1638,32.6,5,0,0,0,0,0
3379,L,297.5,308.7,1568,37.6,112,0,0,0,0,0
3380,M,301.9,311.0,1763,28.4,103,0,0,0,0,0
3381,L,299.2,308.3,1495,38.5,119,0,0,0,0,0
3382,L,301.4,310.6,1519,33.3,85,0,0,0,0,0
3383,M,301.7,310.6,1642,32.5,2,0,0,0,0,0
3384,L,300.1,311.3,1676,30.2,137,0,0,0,0,0
3385,H,303.5,312.4,1586,37.2,40,0,0,0,0,0
3386,M,301.5,310.7,1466,39.5,45,0,0,0,0,0
3387,L,298.9,308.6,1872,30.4,82,0,0,0,0,0
3388,L,300.7,311.0,1596,36.9,13,0,0,0,0,0
3389,L,300.5,309.3,1674,29.8,94,0,0,0,0,0
3390,L,300.3,310.8,1418,52.1,104,0,0,0,0,0
3391,L,301.0,312.3,1587,29.1,179,0,0,0,0,0
3392,L,300.3,309.2,1529,43.8,208,0,0,0,0,0
3393,H,302.3,310.5,1576,36.8,36,0,0,0,0,0
3394,L,300.9,311.3,1555,32.7,101,0,0,0,0,0
3395,L,301.8,310.7,1418,47.3,51,0,0,0,0,0
3396,L,301.2,312.4,1499,59.0,95,0,0,0,0,0
3397,L,298.3,308.0,1367,62.0,98,0,0,0,0,0
3398,M,297.3,308.0,1548,39.1,137,0,0,0,0,0
3399,L,299.1,308.5,1802,26.1,111,0,0,0,0,0
3400,M,300.4,309.5,1597,36.0,59,0,0,0,0,0
3401,L,300.4,309.6,1365,47.6,158,0,0,0,0,0
3402,L,301.8,310.9,1521,39.3,5,0,0,0,0,0
3403,M,300.2,310.1,1485,52.1,188,0,0,0,0,0
3404,L,300.5,311.5,1490,35.9,160,0,0,0,0,0
3405,L,298.3,310.1,1662,29.4,99,0,0,0,0,0
3406,L,300.5,309.3,1731,26.2,30,0,0,0,0,0
3407,L,301.9,310.9,1542,36.7,62,0,0,0,0,0
3408,L,297.7,308.9,1515,41.8,156,0,0,0,0,0
3409,L,300.5,311.4,1474,36.8,31,0,0,0,0,0
3410,L,298.7,310.4,1472,48.1,26,0,0,0,0,0
3411,L,300.2,310.2,1568,36.1,20,0,0,0,0,0
3412,L,302.3,311.2,1786,24.3,28,0,0,0,0,0
3413,L,299.2,308.4,1841,22.8,89,0,0,0,0,0
3414,L,297.3,308.3,1518,37.7,117,0,0,0,0,0
3415,L,298.4,309.6,1583,35.9,98,0,0,0,0,0
3416,M,300.3,311.7,1467,42.9,59,0,0,0,0,0
3417,L,299.3,310.8,1431,41.2,225,1,0,0,0,0
3418,L,299.2,308.5,1485,44.7,94,0,0,0,0,0
3419,L,297.0,307.7,1435,42.2,124,0,0,0,0,0
3420,M,297.2,308.6,1587,37.4,204,0,0,0,0,0
3421,L,298.2,308.1,1459,40.2,27,0,0,0,0,0
3422,L,298.6,308.9,1348,48.4,26,0,0,0,0,0
3423,M,297.5,308.6,1662,28.9,196,0,0,0,0,0
3424,M,301.4,310.5,1418,41.6,49,0,0,0,0,0
3425,L,302.3,311.2,1535,40.6,106,0,0,0,0,0
3426,L,301.0,310.9,1503,36.9,59,0,0,0,0,0
3427,L,304.1,313.3,1596,31.0,146,0,0,0,0,0
3428,L,297.4,308.7,1279,50.5,118,0,0,0,0,0
3429,L,300.7,311.9,1454,42.8,13,0,0,0,0,0
3430,M,300.4,312.0,1467,36.8,59,0,0,0,0,0
3431,L,300.4,311.8,1767,26.3,11,0,0,0,0,0
3432,L,298.3,308.1,1527,33.9,82,0,0,0,0,0
3433,M,300.9,310.8,1822,21.7,53,0,0,0,0,0
3434,L,300.6,309.8,1363,53.1,183,0,0,0,0,0
3435,L,298.8,309.5,1441,47.1,166,0,0,0,0,0
3436,L,297.1,308.1,1457,37.0,167,0,0,0,0,0
3437,L,297.5,309.4,1318,46.0,146,0,0,0,0,0
3438,M,303.6,312.7,1689,29.9,0,0,0,0,0,0
3439,M,300.2,309.9,1466,41.7,170,0,0,0,0,0
3440,M,298.5,309.5,1447,57.3,131,0,0,0,0,0
3441,M,301.3,310.1,1525,37.8,171,0,0,0,0,0
3442,M,299.2,308.4,1515,43.5,2,0,0,0,0,0
3443,M,300.4,311.7,1920,21.8,229,0,0,0,0,0
3444,L,297.4,308.3,1439,46.3,13,0,0,0,0,0
3445,L,298.1,309.9,1457,46.5,58,0,0,0,0,0
3446,L,302.1,310.1,1447,46.8,164,0,0,0,0,0
3447,L,300.8,310.6,1457,47.9,166,0,0,0,0,0
3448,L,302.3,311.5,1330,58.3,177,0,0,0,0,0
3449,L,298.8,309.9,1351,47.2,55,0,0,0,0,0
3450,L,297.3,308.1,1566,31.2,154,0,0,0,0,0
3451,L,301.4,311.0,1436,45.8,184,0,0,0,0,0
3452,L,297.5,308.8,1472,50.7,155,0,0,0,0,0
3453,L,298.0,308.7,1441,45.7,18,0,0,0,0,0
3454,M,298.7,308.4,1469,42.8,169,0,0,0,0,0
3455,L,298.0,309.0,1630,30.4,37,0,0,0,0,0
3456,L,302.8,311.2,1496,32.2,65,0,0,0,0,0
3457,L,302.6,312.5,1341,51.9,156,0,0,0,0,0
3458,L,299.6,310.8,1450,44.4,116,0,0,0,0,0
3459,L,298.4,308.9,1450,46.7,102,0,0,0,0,0
3460,H,298.8,309.9,1362,47.7,202,0,0,0,0,0
3461,M,301.2,310.7,1434,49.0,91,0,0,0,0,0
3462,M,302.3,310.9,1762,32.3,0,0,0,0,0,0
3463,L,297.8,307.8,1499,38.2,6,0,0,0,0,0
3464,M,300.8,309.4,1422,43.1,113,0,0,0,0,0
3465,L,299.6,310.8,1619,31.9,118,0,0,0,0,0
3466,L,297.4,308.8,1694,28.1,142,0,0,0,0,0
3467,M,300.7,310.5,1356,47.2,33,0,0,0,0,0
3468,M,298.1,308.3,1447,57.4,171,0,0,0,0,0
3469,L,300.2,311.6,1390,48.6,61,0,0,0,0,0
3470,L,300.6,310.8,1462,43.4,55,0,0,0,0,0
3471,M,302.1,310.6,1557,40.6,2,0,0,0,0,0
3472,M,299.1,310.3,1546,37.9,83,0,0,0,0,0
3473,L,301.7,310.6,1838,25.0,112,0,0,0,0,0
3474,L,297.8,308.4,1498,46.4,63,0,0,0,0,0
3475,L,302.9,312.4,2030,19.9,192,0,0,0,0,0
3476,L,298.2,308.3,1852,26.0,23,0,0,0,0,0
3477,L,301.5,310.4,1423,47.4,199,0,0,0,0,0
3478,L,302.5,312.0,1543,33.1,142,0,0,0,0,0
3479,L,300.1,309.6,1621,31.0,15,0,0,0,0,0
3480,M,302.3,311.2,1330,59.1,121,0,0,0,0,0
3481,M,298.0,307.5,1492,38.1,23,0,0,0,0,0
3482,L,301.0,312.3,1424,45.7,114,0,0,0,0,0
3483,L,297.2,308.1,1499,37.2,142,0,0,0,0,0
3484,L,300.9,310.9,1645,31.0,196,0,0,0,0,0
3485,L,297.4,308.8,1439,50.1,25,0,0,0,0,0
3486,L,300.7,310.9,1650,29.4,100,0,0,0,0,0
3487,L,299.8,309.2,1360,52.1,63,0,0,0,0,0
3488,L,301.9,310.6,1348,58.1,181,0,0,0,0,0
3489,H,302.6,312.1,1357,50.0,27,0,0,0,0,0
3490,M,296.9,308.1,1440,43.9,64,0,0,0,0,0
3491,M,297.3,308.7,1569,33.9,0,0,0,0,0,0
3492,L,299.2,308.5,1544,39.7,146,0,0,0,0,0
3493,L,297.4,308.2,1345,47.5,15,0,0,0,0,0
3494,L,301.9,309.7,1688,31.9,173,0,0,0,0,0
3495,M,301.1,310.6,1560,38.2,111,0,0,0,0,0
3496,L,299.2,308.8,1597,33.8,195,0,0,0,0,0
3497,L,302.2,310.6,1621,31.9,35,0,0,0,0,0
3498,M,301.2,310.1,1505,38.8,39,0,0,0,0,0
3499,L,302.2,310.9,1404,51.8,49,0,0,0,0,0
3500,L,301.3,310.7,1608,33.4,76,0,0,0,0,0
3501,M,302.6,310.5,1429,39.0,25,0,0,0,0,0
